"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"pangoa","Junín","Satipo","Mazamari",-74.2981792,-11.3402811,NA,24,"septiembre",2022-06-16,2022-06-16,2016-04-18
"pangoa","Huancavelica","Pampas","Colcabamba",-74.5034265,-11.5641022,NA,7,"noviembre",2022-06-07,2022-06-20,2022-06-07
"pangoa","Junin","Satipo","Pangoa",-74.5070751,-11.5654882,NA,24,"noviembre",2022-06-07,2022-06-20,2022-05-31
"pangoa","Huancavelica","Tallacaja","Sulcobamba",-74.4941115,-11.5465534,NA,33,"octubre",2022-06-08,2022-06-20,2022-05-10
"pangoa","Junin","Junin","Santo Domingo de Acobamba",-74.4934349,-11.5513307,NA,20,"agosto",2022-06-08,2022-06-08,2022-05-02
"pangoa","Junín","Huancayo","Santo Domingo de Acobamba",-74.499162,-11.5511031,NA,12,"septiembre",2022-06-08,2022-06-08,2022-05-11
"pangoa","Junin 
","Satipo 
","Pangoa",-74.4535848,-11.7181843,NA,6,"enero",2022-06-15,2022-06-15,2022-06-13
"pangoa","Junin","Satipo","Mazamari",-74.3091552,-11.3461399,NA,15,"septiembre",2022-06-16,2022-06-16,2022-06-01
"pangoa","Junin","Satipo","Pangoa",-74.3017443,-11.3386667,NA,15,"marzo",2022-06-16,2022-06-19,2022-06-02
"pangoa","Junin","Satipo","Pangoa",-74.4229875,-11.72044,NA,33,"agosto",2022-06-15,2022-06-20,2022-05-27
"pangoa","Junin","Satipo","Pangoa",-74.517673,-11.4810665,NA,33,"agosto",2022-06-11,2022-06-20,2022-05-30
"pangoa","Junin","Satipo","Pangoa",-74.4138107,-11.6850307,NA,35,"marzo",2022-06-15,2022-06-20,2022-05-25
"pangoa","Junín","Satipo","Pangoa",-74.389919,-11.3594481,NA,50,"septiembre",2022-06-22,2022-06-24,2022-04-23
"pangoa","Junín","Satipo","Pangoa",-74.3882091,-11.3593951,NA,1.44927536231884,"septiembre",2022-06-22,2022-06-24,2022-04-22
"pangoa","Junín","Satipo","Pangoa",-74.3810025,-11.3557105,NA,38,"septiembre",2022-06-22,2022-06-24,2022-04-14
"pangoa","Junín","Satipo","Pangoa",-74.3842781,-11.3755315,NA,1.6304347826087,"septiembre",2022-06-22,2022-06-24,2022-04-12
"pangoa","Junín","Satipo","Pangoa",-74.3723298,-11.3598002,NA,1.25,"septiembre",2022-06-22,2022-06-24,2022-04-13
"pangoa","Junín","Satipo","Pangoa",-74.3138358,-11.3452876,NA,60,"septiembre",2022-06-22,2022-06-27,2022-04-15
